FID,Count,Year,Used,ConBog,MarshGrass,Mixedwood,Opendec,BTrail_D,Edge_D,Road_D,Trail_D,Water_D,Ruggedness,Stream_D
5545,0,2017,0,0,0.489933,0,0,5.5149899,4.1108699,8.5691004,9.2310801,5.0172801,0,7.1399398
5546,0,2017,0,0,0.395973,0,0,6.2632599,4.1108699,8.5535898,9.22299,5.8378801,1,7.41505
5547,0,2017,0,0,0.0201342,0,0,4.1108699,4.7957902,8.67593,9.1402502,6.0001602,1,7.0915298
5548,0,2017,0,0,0.577181,0.0067114,0,4.82586,3.43399,8.6588697,8.9661999,4.51086,1,3.43399
5549,0,2017,0,0,0.483221,0,0,5.6021199,3.43399,8.6158705,8.9203596,4.1108699,1,5.1700802
5550,0,2017,0,0,0.362416,0,0,6.4109201,0,8.5360098,8.7997198,5.4357901,3,5.2631798
5551,0,2017,0,0,0.456376,0.033557,0,5.8957601,3.43399,8.44417,8.7468395,6.4906502,5,4.51086
5552,0,2017,0,0,0.0604027,0.0067114,0,6.7945499,4.82586,8.4352798,8.6642799,5.9945798,3,6.1640301
5553,0,2017,0,0,0.281879,0.114094,0,7.5190201,3.43399,8.2136898,8.4540701,5.7266598,4,5.6261301
5554,0,2017,0,0.0067114,0.348993,0.0402685,0,6.9917698,3.43399,8.13274,8.1649704,4.7957902,4,3.43399
5555,0,2017,0,0,0.228188,0.0268456,0,6.5611901,4.5629802,8.0518799,8.0481701,6.10252,0,4.8542099
5556,1,2017,1,0.0067114,0.120805,0.0268456,0,5.6261301,3.43399,8.3643703,9.3775196,6.9237599,8,4.1108699
5557,1,2017,1,0,0.114094,0.0268456,0,7.4821601,4.1108699,8.3651505,8.4897203,5.9191098,5,0
5558,1,2017,1,0,0.241611,0.0201342,0,7.4261899,4.1108699,8.3469601,8.4989796,5.9319801,4,4.45263
5559,1,2017,1,0,0.14094,0.0134228,0,7.4945698,4.51086,8.3898897,8.4944696,5.8021202,4,4.2207098
5560,2,2017,1,0,0.033557,0,0,7.2205501,4.9064898,8.3292704,7.5931902,5.5570998,15,6.3846798
5561,2,2017,1,0,0,0,0,3.43399,5.4608898,8.3393097,9.36479,6.0029202,2,5.7071099
5562,2,2017,1,0,0,0.167785,0,6.29496,5.1700802,8.1444101,7.82268,5.5570998,1,5.6261301
5563,2,2017,1,0,0,0,0,6.5381398,5.2631798,8.1449099,6.5381398,6.6671801,3,5.8378801
